"dataset","method","case_id","fault","W","alarm_fraction","alarmed"
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_2","mem",2,0.963,TRUE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_2","mem",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_2","mem",4,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_2","mem",5,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_2","mem",6,1,TRUE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_3","mem",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_3","mem",2,1,TRUE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_3","mem",3,1,TRUE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_3","mem",4,1,TRUE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_3","mem",5,1,TRUE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_3","mem",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_3","mem",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_3","mem",2,0.48,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_3","mem",3,0.72,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_3","mem",4,0.58,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_3","mem",5,0.723,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_3","mem",6,0.557,TRUE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_3","mem",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_3","mem",2,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_3","mem",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_3","mem",4,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_3","mem",5,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_3","mem",6,1,TRUE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_4","mem",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_4","mem",2,0.987,TRUE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_4","mem",3,1,TRUE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_4","mem",4,1,TRUE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_4","mem",5,1,TRUE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_4","mem",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_4","mem",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_4","mem",2,0.19,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_4","mem",3,0.49,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_4","mem",4,0.663,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_4","mem",5,0.53,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_4","mem",6,0.31,TRUE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_4","mem",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_4","mem",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_4","mem",3,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_4","mem",4,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_4","mem",5,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_4","mem",6,0,FALSE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_5","mem",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_5","mem",2,0.3,TRUE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_5","mem",3,0,FALSE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_5","mem",4,0.24,TRUE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_5","mem",5,0,FALSE
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_5","mem",6,0.647,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_5","mem",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_5","mem",2,0.687,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_5","mem",3,0.843,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_5","mem",4,0.793,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_5","mem",5,0.687,TRUE
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_5","mem",6,0.987,TRUE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_5","mem",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_5","mem",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_5","mem",3,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_5","mem",4,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_5","mem",5,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_5","mem",6,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_1","cpu",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_1","cpu",2,0.037,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_1","cpu",3,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_1","cpu",4,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_1","cpu",5,0.797,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_1","cpu",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_1","cpu",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_1","cpu",2,0.03,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_1","cpu",3,0.04,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_1","cpu",4,0.033,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_1","cpu",5,0.487,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_1","cpu",6,0.707,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_1","cpu",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_1","cpu",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_1","cpu",3,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_1","cpu",4,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_1","cpu",5,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_1","cpu",6,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_2","cpu",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_2","cpu",2,0.927,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_2","cpu",3,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_2","cpu",4,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_2","cpu",5,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_2","cpu",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_2","cpu",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_2","cpu",2,0.013,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_2","cpu",3,0.02,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_2","cpu",4,0.033,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_2","cpu",5,0.027,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_2","cpu",6,0.013,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_2","cpu",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_2","cpu",2,0.897,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_2","cpu",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_2","cpu",4,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_2","cpu",5,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_2","cpu",6,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_3","cpu",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_3","cpu",2,0.163,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_3","cpu",3,0.55,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_3","cpu",4,0.493,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_3","cpu",5,0.68,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_3","cpu",6,0.493,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_3","cpu",1,0.02,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_3","cpu",2,0.153,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_3","cpu",3,0.453,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_3","cpu",4,0.46,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_3","cpu",5,0.46,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_3","cpu",6,0.45,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_3","cpu",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_3","cpu",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_3","cpu",3,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_3","cpu",4,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_3","cpu",5,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_3","cpu",6,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_4","cpu",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_4","cpu",2,0.893,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_4","cpu",3,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_4","cpu",4,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_4","cpu",5,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_4","cpu",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_4","cpu",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_4","cpu",2,0.02,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_4","cpu",3,0.013,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_4","cpu",4,0.023,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_4","cpu",5,0.027,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_4","cpu",6,0.01,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_4","cpu",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_4","cpu",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_4","cpu",3,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_4","cpu",4,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_4","cpu",5,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_4","cpu",6,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_5","cpu",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_5","cpu",2,0.893,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_5","cpu",3,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_5","cpu",4,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_5","cpu",5,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_5","cpu",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_5","cpu",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_5","cpu",2,0.043,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_5","cpu",3,0.123,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_5","cpu",4,0.183,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_5","cpu",5,0.163,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_5","cpu",6,0.113,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_5","cpu",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_5","cpu",2,0.82,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_5","cpu",3,0.997,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_5","cpu",4,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_5","cpu",5,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_5","cpu",6,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_1","delay",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_1","delay",2,0.95,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_1","delay",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_1","delay",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_1","delay",2,0.56,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_1","delay",3,0.918,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_1","delay",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_1","delay",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_1","delay",3,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_2","delay",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_2","delay",2,0.983,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_2","delay",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_2","delay",1,0.017,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_2","delay",2,0.267,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_2","delay",3,0.705,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_2","delay",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_2","delay",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_2","delay",3,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_3","delay",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_3","delay",2,0.97,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_3","delay",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_3","delay",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_3","delay",2,0.56,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_3","delay",3,0.131,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_3","delay",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_3","delay",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_3","delay",3,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_4","delay",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_4","delay",2,0.973,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_4","delay",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_4","delay",1,0.01,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_4","delay",2,0.89,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_4","delay",3,0.951,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_4","delay",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_4","delay",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_4","delay",3,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_5","delay",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_5","delay",2,0.963,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_delay_5","delay",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_5","delay",1,0.013,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_5","delay",2,0.903,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_5","delay",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_5","delay",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_5","delay",2,0.963,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_5","delay",3,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_1","disk",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_1","disk",2,0.967,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_1","disk",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_1","disk",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_1","disk",2,0.923,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_1","disk",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_1","disk",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_1","disk",2,0.96,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_1","disk",3,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_2","disk",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_2","disk",2,0.893,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_2","disk",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_2","disk",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_2","disk",2,0.43,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_2","disk",3,0.869,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_2","disk",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_2","disk",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_2","disk",3,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_3","disk",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_3","disk",2,0.85,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_3","disk",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_3","disk",1,0.017,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_3","disk",2,0.923,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_3","disk",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_3","disk",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_3","disk",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_3","disk",3,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_4","disk",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_4","disk",2,0.87,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_4","disk",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_4","disk",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_4","disk",2,0.237,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_4","disk",3,0.787,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_4","disk",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_4","disk",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_4","disk",3,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_5","disk",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_5","disk",2,0.957,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_disk_5","disk",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_5","disk",1,0.01,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_5","disk",2,0.273,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_5","disk",3,0.279,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_5","disk",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_5","disk",2,0.95,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_5","disk",3,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_1","mem",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_1","mem",2,0.977,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_1","mem",3,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_1","mem",4,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_1","mem",5,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_1","mem",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_1","mem",1,0.01,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_1","mem",2,0.94,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_1","mem",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_1","mem",4,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_1","mem",5,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_1","mem",6,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_1","mem",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_1","mem",2,0.977,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_1","mem",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_1","mem",4,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_1","mem",5,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_1","mem",6,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_2","mem",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_2","mem",2,0.417,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_2","mem",3,0.497,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_2","mem",4,0.46,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_2","mem",5,0.457,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_2","mem",6,0.343,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_2","mem",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_2","mem",2,0.98,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_2","mem",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_2","mem",4,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_2","mem",5,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_2","mem",6,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_2","mem",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_2","mem",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_2","mem",3,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_2","mem",4,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_2","mem",5,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_2","mem",6,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_3","mem",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_3","mem",2,0.903,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_3","mem",3,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_3","mem",4,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_3","mem",5,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_3","mem",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_3","mem",1,0.017,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_3","mem",2,0.98,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_3","mem",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_3","mem",4,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_3","mem",5,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_3","mem",6,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_3","mem",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_3","mem",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_3","mem",3,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_3","mem",4,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_3","mem",5,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_3","mem",6,0,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_4","mem",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_4","mem",2,0.967,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_4","mem",3,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_4","mem",4,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_4","mem",5,1,TRUE
"RE1-OB","PCA","RE1-OB_currencyservice_mem_4","mem",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_4","mem",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_4","mem",2,0.39,TRUE
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_4","mem",3,0.537,TRUE
